,DATE,GAME_ID,HOME_TEAM_ID,HOME_TEAM,HOME_TEAM_W_L,HOME_QTR1,HOME_QTR2,HOME_QTR3,HOME_QTR4,HOME_OT1,HOME_OT2,HOME_OT3,HOME_OT4,HOME_PTS,AWAY_TEAM_ID,AWAY_TEAM,AWAY_TEAM_W_L,AWAY_QTR1,AWAY_QTR2,AWAY_QTR3,AWAY_QTR4,AWAY_OT1,AWAY_OT2,AWAY_OT3,AWAY_OT4,AWAY_PTS,MOV,QTR1_MOV,QTR2_MOV,QTR3_MOV,HOME_HALFTIME,AWAY_HALFTIME,HALFTIME_MOV,HALFTIME_HOME_FG,HALFTIME_HOME_FG_MISSES,HALFTIME_HOME_FG_PCT,HALFTIME_HOME_REBOUNDS,HALFTIME_VISITING_FG,HALFTIME_VISITING_FG_PCT,HALFTIME_VISITING_MISSES,HALFTIME_VISITING_REBOUNDS,HALFTIME_FG_DIFF,HALFTIME_REBOUNDS_DIFF
0,2015-10-27,21500001,1610612737,ATL,0-1,25,18,23,28,0,0,0,0,94,1610612765,DET,1-0,25,23,34,24,0,0,0,0,106,-12,0,-5,-11,43,48,-5,19,24,0.441860465116,22,19,0.441860465116,24,24,0.0,-2
1,2015-10-27,21500002,1610612741,CHI,1-0,26,20,25,26,0,0,0,0,97,1610612739,CLE,0-1,17,23,28,27,0,0,0,0,95,2,9,-3,-3,46,40,6,35,50,0.411764705882,47,37,0.397849462366,56,50,0.013915243516,-3
2,2015-10-27,21500003,1610612744,GSW,1-0,39,20,35,17,0,0,0,0,111,1610612740,NOP,0-1,35,14,26,20,0,0,0,0,95,16,4,6,9,59,49,10,40,55,0.421052631579,56,33,0.407407407407,48,33,0.013645224172,23
3,2015-10-28,21500004,1610612753,ORL,0-1,29,22,16,20,0,0,0,0,87,1610612764,WAS,1-0,31,22,12,23,0,0,0,0,88,-1,-2,0,4,51,53,-2,36,63,0.363636363636,56,33,0.392857142857,51,49,-0.029220779221,7
4,2015-10-28,21500005,1610612738,BOS,1-0,21,30,28,33,0,0,0,0,112,1610612755,PHI,0-1,26,14,27,28,0,0,0,0,95,17,-5,16,1,51,40,11,39,46,0.458823529412,41,34,0.409638554217,49,46,0.049184975195,-5
5,2015-10-28,21500006,1610612751,BKN,0-1,19,36,16,29,0,0,0,0,100,1610612741,CHI,2-0,30,28,28,29,0,0,0,0,115,-15,-11,8,-12,55,58,-3,38,54,0.413043478261,45,39,0.52,36,39,-0.106956521739,6
6,2015-10-28,21500007,1610612765,DET,2-0,16,25,28,23,0,0,0,0,92,1610612762,UTA,0-1,15,29,20,23,0,0,0,0,87,5,1,-4,8,41,44,-3,29,44,0.397260273973,43,34,0.459459459459,40,38,-0.062199185486,5
7,2015-10-28,21500008,1610612748,MIA,1-0,23,31,19,31,0,0,0,0,104,1610612766,CHA,0-1,27,17,16,34,0,0,0,0,94,10,-4,14,3,54,44,10,36,37,0.493150684932,41,32,0.385542168675,51,43,0.107608516257,-2
8,2015-10-28,21500009,1610612761,TOR,1-0,20,17,35,34,0,0,0,0,106,1610612754,IND,0-1,30,15,23,31,0,0,0,0,99,7,-10,2,12,37,45,-8,35,44,0.443037974684,50,32,0.372093023256,54,40,0.070944951428,10
9,2015-10-28,21500010,1610612745,HOU,0-1,21,28,14,22,0,0,0,0,85,1610612743,DEN,1-0,27,26,23,29,0,0,0,0,105,-20,-6,2,-9,49,53,-4,29,57,0.337209302326,44,40,0.506329113924,39,49,-0.169119811598,-5
