,GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_NICKNAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS
0,2015-10-27T00:00:00,1,0021500001,1610612737,ATL,Atlanta,Hawks,0-1,25,18,23,28,0,0,0,0,0,0,0,0,0,0,94
1,2015-10-27T00:00:00,1,0021500001,1610612765,DET,Detroit,Pistons,1-0,25,23,34,24,0,0,0,0,0,0,0,0,0,0,106
0,2015-10-27T00:00:00,2,0021500002,1610612741,CHI,Chicago,Bulls,1-0,26,20,25,26,0,0,0,0,0,0,0,0,0,0,97
1,2015-10-27T00:00:00,2,0021500002,1610612739,CLE,Cleveland,Cavaliers,0-1,17,23,28,27,0,0,0,0,0,0,0,0,0,0,95
0,2015-10-27T00:00:00,3,0021500003,1610612744,GSW,Golden State,Warriors,1-0,39,20,35,17,0,0,0,0,0,0,0,0,0,0,111
1,2015-10-27T00:00:00,3,0021500003,1610612740,NOP,New Orleans,Pelicans,0-1,35,14,26,20,0,0,0,0,0,0,0,0,0,0,95
0,2015-10-28T00:00:00,1,0021500004,1610612753,ORL,Orlando,Magic,0-1,29,22,16,20,0,0,0,0,0,0,0,0,0,0,87
1,2015-10-28T00:00:00,1,0021500004,1610612764,WAS,Washington,Wizards,1-0,31,22,12,23,0,0,0,0,0,0,0,0,0,0,88
0,2015-10-28T00:00:00,2,0021500005,1610612738,BOS,Boston,Celtics,1-0,21,30,28,33,0,0,0,0,0,0,0,0,0,0,112
1,2015-10-28T00:00:00,2,0021500005,1610612755,PHI,Philadelphia,76ers,0-1,26,14,27,28,0,0,0,0,0,0,0,0,0,0,95
0,2015-10-28T00:00:00,3,0021500006,1610612751,BKN,Brooklyn,Nets,0-1,19,36,16,29,0,0,0,0,0,0,0,0,0,0,100
1,2015-10-28T00:00:00,3,0021500006,1610612741,CHI,Chicago,Bulls,2-0,30,28,28,29,0,0,0,0,0,0,0,0,0,0,115
0,2015-10-28T00:00:00,4,0021500007,1610612765,DET,Detroit,Pistons,2-0,16,25,28,23,0,0,0,0,0,0,0,0,0,0,92
1,2015-10-28T00:00:00,4,0021500007,1610612762,UTA,Utah,Jazz,0-1,15,29,20,23,0,0,0,0,0,0,0,0,0,0,87
0,2015-10-28T00:00:00,5,0021500008,1610612748,MIA,Miami,Heat,1-0,23,31,19,31,0,0,0,0,0,0,0,0,0,0,104
1,2015-10-28T00:00:00,5,0021500008,1610612766,CHA,Charlotte,Hornets,0-1,27,17,16,34,0,0,0,0,0,0,0,0,0,0,94
0,2015-10-28T00:00:00,6,0021500009,1610612761,TOR,Toronto,Raptors,1-0,20,17,35,34,0,0,0,0,0,0,0,0,0,0,106
1,2015-10-28T00:00:00,6,0021500009,1610612754,IND,Indiana,Pacers,0-1,30,15,23,31,0,0,0,0,0,0,0,0,0,0,99
0,2015-10-28T00:00:00,7,0021500010,1610612745,HOU,Houston,Rockets,0-1,21,28,14,22,0,0,0,0,0,0,0,0,0,0,85
1,2015-10-28T00:00:00,7,0021500010,1610612743,DEN,Denver,Nuggets,1-0,27,26,23,29,0,0,0,0,0,0,0,0,0,0,105
0,2015-10-28T00:00:00,8,0021500011,1610612763,MEM,Memphis,Grizzlies,0-1,10,22,23,21,0,0,0,0,0,0,0,0,0,0,76
1,2015-10-28T00:00:00,8,0021500011,1610612739,CLE,Cleveland,Cavaliers,1-1,26,27,26,27,0,0,0,0,0,0,0,0,0,0,106
0,2015-10-28T00:00:00,9,0021500012,1610612749,MIL,Milwaukee,Bucks,0-1,23,28,22,24,0,0,0,0,0,0,0,0,0,0,97
1,2015-10-28T00:00:00,9,0021500012,1610612752,NYK,New York,Knicks,1-0,27,36,27,32,0,0,0,0,0,0,0,0,0,0,122
