,DATE,GAME_ID,HOME_TEAM_ID,HOME_TEAM,HOME_TEAM_W_L,HOME_QTR1,HOME_QTR2,HOME_QTR3,HOME_QTR4,HOME_OT1,HOME_OT2,HOME_OT3,HOME_OT4,HOME_PTS,AWAY_TEAM_ID,AWAY_TEAM,AWAY_TEAM_W_L,AWAY_QTR1,AWAY_QTR2,AWAY_QTR3,AWAY_QTR4,AWAY_OT1,AWAY_OT2,AWAY_OT3,AWAY_OT4,AWAY_PTS
0,2015-10-27T00:00:00,21500001,1610612737,ATL,0-1,25,18,23,28,0,0,0,0,94,1610612765,DET,1-0,25,23,34,24,0,0,0,0,106
1,2015-10-27T00:00:00,21500002,1610612741,CHI,1-0,26,20,25,26,0,0,0,0,97,1610612739,CLE,0-1,17,23,28,27,0,0,0,0,95
2,2015-10-27T00:00:00,21500003,1610612744,GSW,1-0,39,20,35,17,0,0,0,0,111,1610612740,NOP,0-1,35,14,26,20,0,0,0,0,95
3,2015-10-28T00:00:00,21500004,1610612753,ORL,0-1,29,22,16,20,0,0,0,0,87,1610612764,WAS,1-0,31,22,12,23,0,0,0,0,88
4,2015-10-28T00:00:00,21500005,1610612738,BOS,1-0,21,30,28,33,0,0,0,0,112,1610612755,PHI,0-1,26,14,27,28,0,0,0,0,95
5,2015-10-28T00:00:00,21500006,1610612751,BKN,0-1,19,36,16,29,0,0,0,0,100,1610612741,CHI,2-0,30,28,28,29,0,0,0,0,115
6,2015-10-28T00:00:00,21500007,1610612765,DET,2-0,16,25,28,23,0,0,0,0,92,1610612762,UTA,0-1,15,29,20,23,0,0,0,0,87
7,2015-10-28T00:00:00,21500008,1610612748,MIA,1-0,23,31,19,31,0,0,0,0,104,1610612766,CHA,0-1,27,17,16,34,0,0,0,0,94
8,2015-10-28T00:00:00,21500009,1610612761,TOR,1-0,20,17,35,34,0,0,0,0,106,1610612754,IND,0-1,30,15,23,31,0,0,0,0,99
9,2015-10-28T00:00:00,21500010,1610612745,HOU,0-1,21,28,14,22,0,0,0,0,85,1610612743,DEN,1-0,27,26,23,29,0,0,0,0,105
10,2015-10-28T00:00:00,21500011,1610612763,MEM,0-1,10,22,23,21,0,0,0,0,76,1610612739,CLE,1-1,26,27,26,27,0,0,0,0,106
11,2015-10-28T00:00:00,21500012,1610612749,MIL,0-1,23,28,22,24,0,0,0,0,97,1610612752,NYK,1-0,27,36,27,32,0,0,0,0,122
12,2015-10-28T00:00:00,21500013,1610612760,OKC,1-0,29,21,29,33,0,0,0,0,112,1610612759,SAS,0-1,27,28,28,23,0,0,0,0,106
