,GAME_ID,HALFTIME_HOME_FG,HALFTIME_HOME_FG_MISSES,HALFTIME_HOME_FG_PCT,HALFTIME_HOME_REBOUNDS,HALFTIME_VISITING_FG,HALFTIME_VISITING_FG_PCT,HALFTIME_VISITING_MISSES,HALFTIME_VISITING_REBOUNDS
0,21500001,19,24,0.441860465116,22,19,0.441860465116,24,24
1,21500002,35,50,0.411764705882,47,37,0.397849462366,56,50
2,21500003,40,55,0.421052631579,56,33,0.407407407407,48,33
3,21500004,36,63,0.363636363636,56,33,0.392857142857,51,49
4,21500005,39,46,0.458823529412,41,34,0.409638554217,49,46
5,21500006,38,54,0.413043478261,45,39,0.52,36,39
6,21500007,29,44,0.397260273973,43,34,0.459459459459,40,38
7,21500008,36,37,0.493150684932,41,32,0.385542168675,51,43
8,21500009,35,44,0.443037974684,50,32,0.372093023256,54,40
9,21500010,29,57,0.337209302326,44,40,0.506329113924,39,49
10,21500011,27,51,0.346153846154,37,39,0.475609756098,43,54
11,21500012,30,56,0.348837209302,47,42,0.451612903226,51,49
12,21500013,39,44,0.469879518072,45,42,0.466666666667,48,36
13,21500014,32,53,0.376470588235,53,39,0.464285714286,45,48
14,21500015,41,44,0.482352941176,51,35,0.388888888889,55,39
15,21500016,41,53,0.436170212766,49,41,0.518987341772,38,42
16,21500017,32,55,0.367816091954,48,38,0.457831325301,45,39
17,21500018,37,41,0.474358974359,38,41,0.5,41,42
18,21500019,38,55,0.408602150538,48,41,0.5,41,39
19,21500020,37,49,0.43023255814,53,34,0.354166666667,62,55
20,21500021,36,47,0.433734939759,49,33,0.428571428571,44,38
21,21500022,46,59,0.438095238095,49,49,0.449541284404,60,62
22,21500023,19,44,0.301587301587,39,34,0.395348837209,52,51
23,21500024,32,53,0.376470588235,38,32,0.410256410256,46,53
24,21500025,35,65,0.35,61,34,0.404761904762,50,50
25,21500026,36,47,0.433734939759,45,36,0.409090909091,52,54
26,21500027,42,40,0.512195121951,32,35,0.514705882353,33,37
27,21500028,38,46,0.452380952381,56,30,0.394736842105,46,32
28,21500029,29,66,0.305263157895,51,30,0.422535211268,41,49
29,21500030,30,52,0.365853658537,49,42,0.45652173913,50,47
30,21500031,51,49,0.51,56,39,0.448275862069,48,37
31,21500032,34,46,0.425,55,33,0.388235294118,52,42
32,21500033,28,42,0.4,34,37,0.43023255814,49,47
33,21500034,36,52,0.409090909091,43,38,0.457831325301,45,40
34,21500035,42,54,0.4375,48,46,0.547619047619,38,38
35,21500036,30,46,0.394736842105,42,37,0.474358974359,41,43
36,21500037,31,46,0.402597402597,45,39,0.414893617021,55,48
37,21500038,38,37,0.506666666667,41,38,0.395833333333,58,49
38,21500039,31,54,0.364705882353,45,37,0.420454545455,51,48
39,21500040,35,63,0.357142857143,45,34,0.41975308642,47,51
40,21500041,40,44,0.47619047619,48,31,0.397435897436,47,34
41,21500042,38,49,0.436781609195,46,29,0.420289855072,40,33
42,21500043,33,54,0.379310344828,47,35,0.388888888889,55,43
43,21500044,44,41,0.517647058824,50,34,0.373626373626,57,35
44,21500045,30,54,0.357142857143,42,37,0.440476190476,47,49
45,21500046,35,47,0.426829268293,37,42,0.518518518519,39,43
46,21500047,32,43,0.426666666667,35,37,0.513888888889,35,36
47,21500048,32,57,0.359550561798,49,35,0.466666666667,40,45
48,21500049,41,48,0.460674157303,34,40,0.47619047619,44,55
49,21500050,33,45,0.423076923077,41,41,0.460674157303,48,46
50,21500051,38,38,0.5,60,24,0.263736263736,67,42
51,21500052,33,44,0.428571428571,46,34,0.354166666667,62,55
